MachineType,Name,Quality,Thickness,*Name*,*Density*,*Machinability*,*LowSpeedFactor*,*Brittle*,*Sandwiched*,*DisplayName*,*MarkingSpeed*,*SpecialMarkingSpeed*,*DrillingRotationSpeed*,*DrillingSpeed*,*DrillingStep*,*Thickness*,*AWJMarkingUseAbrasive*,*AWJMarkingAbrasiveFlow*,*AWJMarkingAbrasiveFlowByMachine*,*AWJMarkingPressure*,*AWJMarkingPressureByMachine*,*AWJPointMarkingDelay*,*LinearPiercing*,*OvercutDistance*,*PiercingDiameter*,*LeadGap*,*PartDistance*,*CollarWidth*,*CostPiercing*,*CostDist*,*Technology*,*Options*,*User*,*SheetFileName*,*AvailableAWJ*,*AvailableWater*,*AvailablePlasma*,*AvailableOxyfuel*,*AvailableLaser*,*AWJAutomaticPiercing*,*AWJDLPSpeed*,*AWJPiercingAbrasiveFlow*,*AWJPiercingAbrasiveFlowByMachine*,*AWJPiercingPressure*,*AWJPiercingPressureByMachine*,*AWJStationaryPiercing*,*AWJCircularPiercing*,*AWJCircularPiercingDiameter*,*AWJCircularPiercingSpeed*,*AWJLinearPiercingDistance*,*AWJOvercutDistance*,*AWJFixedSpeed*,*AWJCuttingAbrasiveFlow*,*AWJCuttingAbrasiveFlowByMachine*,*AWJCuttingPressure*,*AWJCuttingPressureByMachine*,*TACAdjustment*,*AWJTACRough*,*AWJTACRough1*,*AWJTACRough2*,*AWJTACXFINE*,*AWJTACXFINE1*,*AWJTACXFINE2*,*AWJAutomatic*,*AWJFixedTAC*,*AWJFixedTACAngle*,*AWJFixedLAGAngle*,*ArcFac*,*FlatZoneRadius*,*WaterPiercingTime*,*WaterPiercingDiameter*,*WaterPiercingOvercutDistance*,*WaterCuttingSpeed*,*WaterSlowDownInCorners*,*WaterHighSpeed*,*WaterLowSpeed*,*WaterAccDist*,*WaterDecDist*,*WaterSteps*,*PlasmaAmpere*,*PlasmaMaxToolDiameter*,*PlasmaSlowDownInCorners*,*PlasmaSpeedReduction*,*PlasmaAccDist*,*PlasmaDecDist*,*PlasmaSteps*,*PlasmaLowRadius*,*PlasmaHighRadius*,*PlasmaPiercingDiameter*,*PlasmaTAC*,*PlasmaLoopRadius*,*PlasmaPiercingTime*,*PlasmaLeadinSpeed*,*PlasmaCuttingSpeed*,*OxyfuelPiercingTime*,*OxyfuelPiercingDiameter*,*OxyfuelLeadinSpeed*,*OxyfuelCuttingSpeed*,*OxyfuelReduceSpeedOnSmallInternals*,*OxyfuelLargeArea*,*OxyfuelSmallArea*,*OxyfuelSpeedReduction*,*LaserPiercingTime*,*LaserPiercingDiameter*,*LaserLinearPiercingDistance*,*LaserLeadinSpeed*,*LaserCuttingSpeedXFast*,*LaserCuttingSpeedFast*,*LaserCuttingSpeedMedium*,*LaserCuttingSpeedSlow*,*LaserCuttingSpeedXSlow*,*QualityName*,*QualityCost*
0,Acrylic,Standard,0.1870,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,4.7498,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,True,1378.951456,False,1.3,1,1.3999971999999998,273,0,0,609.5999999999999,350,True,3800,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.0561,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,5.69976,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,1.42494,1000,1,1,1,1,1,Standard,1
0,Acrylic,Standard,0.2500,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,6.35,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,False,1034.213592,False,1.3,1,1.3999971999999998,273,0,0,431.79999999999995,350,True,1378.951456,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.075,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,7.62,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,1.905,1000,1,1,1,1,1,Standard,1
0,Acrylic,Standard,0.3750,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,9.525,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,True,1034.213592,False,1.3,1,1.3999971999999998,273,0,0,254,350,True,3800,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.1125,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,11.43,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,2.8575,1000,1,1,1,1,1,Standard,1
0,Acrylic,Standard,0.5000,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,12.7,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,False,1034.213592,False,1.3,1,1.3999971999999998,273,0,0,177.79999999999998,350,True,3800,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.15,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,15.24,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,3.81,1000,1,1,1,1,1,Standard,1
0,Acrylic,Standard,0.6250,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,15.875,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,False,1034.213592,False,1.3,1,1.3999971999999998,273,0,0,152.39999999999998,350,True,3800,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.1875,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,19.05,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,4.7625,1000,1,1,1,1,1,Standard,1
0,Acrylic,Standard,0.7500,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,19.05,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,False,1034.213592,False,1.3,1,1.3999971999999998,273,0,0,127,350,True,3800,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.225,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,22.86,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,5.715,1000,1,1,1,1,1,Standard,1
0,Acrylic,Standard,1.0000,Acrylic,1185.3662846628004,690,0,True,False,Acrylic,5000,1000,2000,1000,0,25.4,True,1000,True,3800,True,1,0,0,1.3999971999999998,0.2,6.35,12.7,0,0,,,0,,True,False,False,False,False,False,True,300,False,1034.213592,False,1.3,1,1.3999971999999998,273,0,0,88.89999999999999,350,True,3800,True,0,0,0,0,-1,-1,-1,False,False,0,0,1,300,5,1,0.3,1000,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,30.48,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,7.62,1000,1,1,1,1,1,Standard,1
0,Alu shim stock,3003,0.0150,Alu shim stock,2700.011337,213,0,True,False,Alu shim stock,4000,1000,2000,1000,0,0.38099999999999995,False,1000,True,1378.951456,False,1,0,0,1.3999971999999998,0.3048,6.35,12.7,0,0,,,0,,True,True,False,False,False,False,True,300,True,3800,True,1.5,1,1.3999971999999998,273,0,0,381,350,True,3800,True,0,-5.44033203100551,0,0,-3.6329507394882192,-1,-1,False,False,0,0,1,300,2,1,0.0189,2345,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,1.92024,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,0.48006,1000,1,1,1,1,1,3003,8.3555197
0,Alu shim stock,3003,0.0250,Alu shim stock,2700.011337,213,0,True,False,Alu shim stock,4000,1000,2000,1000,0,0.635,False,1000,True,1378.951456,False,1,0,0,1.3999971999999998,0.7619999999999999,6.35,12.7,0,0,,,0,,True,True,False,False,False,False,True,300,True,3800,True,1.5,1,1.3999971999999998,273,0,0,381,350,True,3800,True,0,-5.44033203100551,0,0,-3.6329507394882192,-1,-1,False,False,0,0,1,300,2,1,0.0189,2345,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,1.92024,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,0.48006,1000,1,1,1,1,1,3003,8.3555197
0,Alu shim stock,3003,0.0400,Alu shim stock,2700.011337,213,0,True,False,Alu shim stock,4000,1000,2000,1000,0,1.016,False,1000,True,1378.951456,False,1,0,0,1.3999971999999998,0.5588,6.35,12.7,0,0,,,0,,True,True,False,False,False,False,True,300,True,3800,True,1.5,1,1.3999971999999998,273,0,0,381,350,True,3800,True,0,-5.44033203100551,0,0,-3.6329507394882192,-1,-1,False,False,0,0,1,300,2,1,0.0189,2345,False,3000,1000,0,0,0,30,1.016,False,50,0,0,0,5,30,1.3999971999999998,0,1.92024,5,1000,1000,5,1.3999971999999998,1000,1000,False,10,3,50,5,1.3999971999999998,0.48006,1000,1,1,1,1,1,3003,8.3555197
